"Company","ProblemCount","Problems"
"Adobe","347","01 Matrix | 3Sum | 3Sum Closest | 3Sum With Multiplicity | 4 Sum | 4Sum II | Add Binary | Add Two Integers | Add Two Numbers | Add Two Numbers II | All Paths From Source to Target | All People Report to the Given Manager | All Possible Full Binary Trees | Amount of Time for Binary Tree to Be Infected | Arithmetic Slices II - Subsequence | Arranging Coins | Array Nesting | Array Partition | Article Views I | Average Selling Price | Average Time of Process per Machine | Bag of Tokens | Balanced Binary Tree | Basic Calculator | Basic Calculator IV | Best Team With No Conflicts | Best Time to Buy and Sell Stock | Best Time to Buy and Sell Stock with Cooldown | Best Time to Buy and Sell Stock with Transaction Fee | Big Countries | Binary Search | Binary Tree Inorder Traversal | Binary Tree Maximum Path Sum | Binary Tree Preorder Traversal | Binary Tree Zigzag Level Order Traversal | Bitwise AND of Numbers Range | Build Array from Permutation | Candy | Capacity To Ship Packages Within D Days | Champagne Tower | Choose Numbers From Two Arrays in Range | Circle and Rectangle Overlapping | Climbing Stairs | Coin Change II | Combination Sum | Combination Sum IV | Combinations | Combine Two Tables | Complement of Base 10 Integer | Concatenation of Array | Consecutive Numbers | Construct String from Binary Tree | Container With Most Water | Contains Duplicate | Contains Duplicate II | Contains Duplicate III | Continuous Subarrays | Copy List with Random Pointer | Count and Say | Count Binary Substrings | Count Good Meals | Count Items Matching a Rule | Count Number of Nice Subarrays | Count Odd Numbers in an Interval Range | Count of Matches in Tournament | Count of Range Sum | Count of Smaller Numbers After Self | Count Primes | Count Special Integers | Count Subarrays Where Max Element Appears at Least K Times | Count Ways to Build Rooms in an Ant Colony | Counting Bits | Critical Connections in a Network | Customer Placing the Largest Number of Orders | Customer Who Visited but Did Not Make Any Transactions | Customers Who Bought All Products | Customers Who Never Order | Decode String | Decoded String at Index | Decrease Elements To Make Array Zigzag | Degree of an Array | Delete the Middle Node of a Linked List | Department Highest Salary | Design Bounded Blocking Queue | Design HashMap | Design Tic-Tac-Toe | Determine Whether Matrix Can Be Obtained By Rotation | Divide Intervals Into Minimum Number of Groups | Divide Two Integers | Domino and Tromino Tiling | Duplicate Emails | Elimination Game | Employees Whose Manager Left the Company | Employees With Missing Information | Evaluate Division | Excel Sheet Column Title | Fibonacci Number | Find All Anagrams in a String | Find All Duplicates in an Array | Find All People With Secret | Find Critical and Pseudo-Critical Edges in Minimum Spanning Tree | Find Customer Referee | Find First and Last Position of Element in Sorted Array | Find in Mountain Array | Find Median from Data Stream | Find Minimum in Rotated Sorted Array | Find Minimum Time to Finish All Jobs | Find Mode in Binary Search Tree | Find Pivot Index | Find Subarrays With Equal Sum | Find the Difference | Find the Duplicate Number | Find the Town Judge | Find Total Time Spent by Each Employee | First Bad Version | First Missing Positive | Fix Names in a Table | Flood Fill | Frequency of the Most Frequent Element | Frog Jump | Game of Life | Game Play Analysis I | Game Play Analysis IV | Gas Station | Generate Parentheses | Group Anagrams | Group Sold Products By The Date | Guess Number Higher or Lower | Happy Number | House Robber | House Robber III | Implement Stack using Queues | Inorder Successor In BST | Integer Break | Integer to Roman | Intersection of Two Arrays | Intersection of Two Arrays II | Intersection of Two Linked Lists | Invalid Tweets | Is Subsequence | Jewels and Stones | Jump Game II | K-Concatenation Maximum Sum | K-diff Pairs in an Array | Kth Ancestor of a Tree Node | Kth Largest Element in a Stream | Kth Largest Element in an Array | Kth Smallest Element in a Sorted Matrix | K-th Symbol in Grammar | Largest Combination With Bitwise AND Greater Than Zero | Largest Number | Largest Odd Number in String | Largest Palindromic Number | Largest Rectangle in Histogram | Linked List Cycle | Longest Common Prefix | Longest Consecutive Sequence | Longest Increasing Subsequence | Longest Palindromic Substring | Longest Repeating Character Replacement | Longest Subsequence With Limited Sum | Longest Substring Without Repeating Characters | LRU Cache | Majority Element | Majority Element II | Make The String Great | Making A Large Island | Managers with at Least 5 Direct Reports | Max Chunks To Make Sorted II | Maximum Absolute Sum of Any Subarray | Maximum Frequency Stack | Maximum Length of a Concatenated String with Unique Characters | Maximum Length of Subarray With Positive Product | Maximum Level Sum of a Binary Tree | Maximum Number of Achievable Transfer Requests | Maximum Number of Balloons | Maximum Number of Events That Can Be Attended II | Maximum Number of Fish in a Grid | Maximum Points You Can Obtain from Cards | Maximum Product Subarray | Maximum Profit in Job Scheduling | Maximum Subarray | Maximum XOR of Two Numbers in an Array | Median of Two Sorted Arrays | Meeting Scheduler | Merge Intervals | Merge k Sorted Lists | Merge Operations to Turn Array Into a Palindrome | Merge Two Sorted Lists | Middle of the Linked List | Min Cost Climbing Stairs | Min Stack | Minimize Malware Spread | Minimize Maximum Pair Sum in Array | Minimize the Total Price of the Trips | Minimize XOR | Minimizing Array After Replacing Pairs With Their Product | Minimum Cost to Move Chips to The Same Position | Minimum Cost Tree From Leaf Values | Minimum Deletions to Make String Balanced | Minimum Insertion Steps to Make a String Palindrome | Minimum Number of Moves to Seat Everyone | Minimum Number of Taps to Open to Water a Garden | Minimum Operations to Reduce X to Zero | Minimum Remove to Make Valid Parentheses | Minimum Score Triangulation of Polygon | Minimum Window Substring | Mirror Reflection | Missing Number | Missing Number In Arithmetic Progression | Monthly Transactions I | Move Zeroes | Multiply Strings | Next Greater Element I | Next Greater Element II | Next Greater Element III | Next Permutation | Nim Game | N-Queens | Nth Highest Salary | N-th Tribonacci Number | Number of Employees Who Met the Target | Number of Equivalent Domino Pairs | Number of Good Pairs | Number of Increasing Paths in a Grid | Number of Islands | Number of Subarrays with Bounded Maximum | Number of Substrings Containing All Three Characters | Numbers With Same Consecutive Differences | Odd Even Linked List | Online Stock Span | Painting the Walls | Palindrome Linked List | Palindrome Number | Partition Array for Maximum Sum | Partition Array Into Two Arrays to Minimize Sum Difference | Partition List | Pascal's Triangle | Pascal's Triangle II | Peak Index in a Mountain Array | Perfect Number | Permutation Sequence | Permutations | Plus One | Poor Pigs | Populating Next Right Pointers in Each Node | Populating Next Right Pointers in Each Node II | Pow(x, n) | Power of Four | Preimage Size of Factorial Zeroes Function | Product of Array Except Self | Product Sales Analysis I | Rabbits in Forest | Rank Scores | Ransom Note | Recover Binary Search Tree | Recyclable and Low Fat Products | Regular Expression Matching | Remove Duplicates from Sorted Array | Remove Duplicates from Sorted Array II | Remove Duplicates from Sorted List | Remove Element | Remove K Digits | Remove Linked List Elements | Reorder List | Reordered Power of 2 | Reorganize String | Replace All Digits with Characters | Replace Employee ID With The Unique Identifier | Reveal Cards In Increasing Order | Reverse Integer | Reverse Linked List II | Reverse String | Reverse String II | Reverse Words in a String III | Richest Customer Wealth | Rising Temperature | Robot Bounded In Circle | Roman to Integer | Rotate Image | Search a 2D Matrix | Search in Rotated Sorted Array | Search in Rotated Sorted Array II | Search Insert Position | Search Suggestions System | Second Highest Salary | Self Dividing Numbers | Sell Diminishing-Valued Colored Balls | Set Mismatch | Shortest Path in Binary Matrix | Shortest Subarray with Sum at Least K | Single Number | Sliding Window Maximum | Smallest Even Multiple | Smallest Range Covering Elements from K Lists | Smallest Range I | Smallest Range II | Smallest String With A Given Numeric Value | Snakes and Ladders | Sort Colors | Sort Integers by The Number of 1 Bits | Sort the People | Sorting the Sentence | Spiral Matrix | Split a String in Balanced Strings | Sqrt(x) | String Compression II | String to Integer (atoi) | Subarray Sum Equals K | Subarrays with K Different Integers | Subsets | Subsets II | Sudoku Solver | Sum of Absolute Differences in a Sorted Array | Sum of All Odd Length Subarrays | Sum of All Subset XOR Totals | Sum of Imbalance Numbers of All Subarrays | Sum of Left Leaves | Sum of Values at Indices With K Set Bits | Summary Ranges | Super Pow | Swap Adjacent in LR String | Swap Nodes in Pairs | Symmetric Tree | Target Sum | Text Justification | Top K Frequent Elements | Total Hamming Distance | Trapping Rain Water | Trips and Users | Two Sum | Two Sum II - Input array is sorted | Ugly Number | Unique Binary Search Trees II | Unique Length-3 Palindromic Subsequences | Unique Number of Occurrences | Unique Paths | Valid Palindrome | Valid Parentheses | Validate Binary Search Tree | Wiggle Sort II | Word Break | Word Break II | Word Ladder | Word Pattern | Word Subsets | ZigZag Conversion"
"Adverb Solutions","1","Reverse Linked List II"
"Affinity","1","Parsing A Boolean Expression"
"Affirm","7","Design Hit Counter | Group Anagrams | Insert Delete GetRandom O(1) | Insert Delete GetRandom O(1) - Duplicates allowed | Optimal Account Balancing | Parse Lisp Expression | Valid Anagram"
"Agoda","1","Capacity To Ship Packages Within D Days"
"Airbnb","32","Alien Dictionary | Cheapest Flights Within K Stops | Combination Sum | Convert to Base -2 | Design Circular Queue | Employee Free Time | Find Median from Data Stream | Find the Smallest Divisor Given a Threshold | Flatten 2D Vector | Flatten Nested List Iterator | Fraction to Recurring Decimal | Intersection of Two Linked Lists | IP to CIDR | Koko Eating Bananas | Maximum Candies You Can Get from Boxes | Maximum Profit in Job Scheduling | Mini Parser | Minimize Rounding Error to Meet Target | Minimum Cost to Connect Sticks | Minimum Number of Flips to Convert Binary Matrix to Zero Matrix | Minimum Window Substring | Number of Ways to Build House of Cards | Palindrome Pairs | Pour Water | Pyramid Transition Matrix | Robot Bounded In Circle | Shortest Path to Get All Keys | Sliding Puzzle | Smallest Common Region | Strings Differ by One Character | Subarrays with K Different Integers | Tag Validator"
"Airtel","10","Add Two Numbers II | Coin Change II | Find First and Last Position of Element in Sorted Array | Find Polygon With the Largest Perimeter | Implement Stack using Queues | Letter Combinations of a Phone Number | Majority Element II | Reverse Linked List II | Search in Rotated Sorted Array | XOR Queries of a Subarray"
"Ajira","1","Minimum Swaps to Arrange a Binary Grid"
"Akamai","1","N-Repeated Element in Size 2N Array"
"Akuna Capital","14","Can Make Palindrome from Substring | Cherry Pickup | Constrained Subsequence Sum | Create Sorted Array through Instructions | Dice Roll Simulation | Distance to a Cycle in Undirected Graph | Find Median from Data Stream | Find the City With the Smallest Number of Neighbors at a Threshold Distance | Increasing Decreasing String | Minimum Initial Energy to Finish Tasks | Minimum Number of K Consecutive Bit Flips | Minimum Processing Time | Number of Different Subsequences GCDs | Sliding Window Maximum"
"Alation","3","Best Time to Buy and Sell Stock | Group Anagrams | H-Index"
"Algogenix","1","Coin Change II"
"Alibaba","6","Count Number of Homogenous Substrings | Kth Largest Element in an Array | Maximum Sum Circular Subarray | Path Sum IV | Search in Rotated Sorted Array | Split Concatenated Strings"
"Aliibaba","1","LRU Cache"
"AllinCall","1","Number Of Rectangles That Can Form The Largest Square"
"Allscripts","1","Reverse Linked List II"
"AlphaSense Inc.","1","Median of Two Sorted Arrays"
"Alphonso","1","Maximum Number of Removable Characters"
"Altimetrik","1","Maximum Number of Pairs in Array"
"Amadeus","1","Minimum Time to Complete Trips"
"Amadeus Software","1","Find First and Last Position of Element in Sorted Array"
